Gene name,Log2(Fold expression) (Atxn1-154Q vs. WT),Fold Expression (Atxn1-154Q vs. WT)
Fam19a1,-2.55196,0.170523503
Cntn6,0.323037,1.250958529
Lrrn1,0.317581,1.246238936
Grm7,-0.394486,0.760760514
Slc6a11,-1.57287,0.336139112
Fam21,-0.303389,0.810346552
Tuba8,-0.380264,0.768297843
Usp18,0.821151,1.766817259
Vamp1,-0.682945,0.622891759
Tspan11,-0.529354,0.692865168
Ptpro,-1.03434,0.488238881
Pde3a,1.02652,2.037108276
Gpr85,0.38177,1.302934543
Cttnbp2,-0.32831,0.796464438
Cadps2,0.606691,1.522763066
Pde1c,0.418129,1.336197822
Fam13a,0.327075,1.254464976
Gprin3,0.768779,1.70382875
Snca,0.612666,1.529081182
Smyd1,-0.813111,0.569155408
Tet3,0.319838,1.248189959
Egr4,0.514544,1.428542788
Gkn3,-0.810441,0.570207708
Grip2,-0.864562,0.549213336
Prickle2,-0.435078,0.739653982
Rassf4,-0.845669,0.55645159
Cacna1c,0.327018,1.254417151
Erc1,0.306653,1.236831864
B4galnt3,-1.13186,0.456327581
Iqsec3,-0.404633,0.755427244
Ntf3,0.796467,1.736841421
Kcna6,-0.373423,0.771950598
Prmt8,-0.350835,0.784128862
BC048546,-0.925934,0.526341698
Grin2b,-0.613967,0.653395047
Rerg,-0.864646,0.549181527
Eps8,0.503977,1.41811795
Lmo3,-1.89127,0.269570298
Tmtc1,-0.603745,0.658043346
Gm16532,-0.954639,0.515969954
Usp29,-0.47085,0.721539156
Pnmal2,-0.30438,0.809791409
Ttc9b,0.327633,1.254951834
Vstm2b,-1.55295,0.340812283
Klk6,-0.445031,0.734570698
"Kcnc3,Napsa",-0.410342,0.75244472
Slc17a7,0.348319,1.273077357
Nell1,-0.689696,0.61998454
Slc17a6,-1.98048,0.253405459
Magel2,-2.06466,0.239042864
Otud7a,0.412231,1.330745055
Acan,-1.39847,0.379330421
Pde8a,-0.437545,0.738389371
Sh3gl3,-0.763398,0.589107225
Mex3b,0.406125,1.32512215
Grm5,-1.71136,0.305372193
Me3,0.46847,1.383641027
Sytl2,-0.559389,0.678589238
Tenm4,-0.478728,0.717610074
P4ha3,-1.81331,0.284536823
Cckbr,-1.92862,0.262679604
Wee1,-0.461129,0.726417071
Spon1,0.427739,1.345128836
Hs3st2,-1.8587,0.275724562
Cacng3,-0.586466,0.665972545
Hs3st4,-2.99995,0.125004638
Sbk1,-0.555331,0.680501013
Doc2a,-1.24016,0.423325996
Gpr26,-1.96003,0.257022895
Lhpp,-0.374042,0.771616956
"Dpysl4,Jakmip3",0.509976,1.424028983
Inpp5a,-0.32011,0.801010082
Gpr123,-0.416283,0.749352646
Tnnt1,-1.37623,0.385224744
Syt5,-0.532247,0.691476723
Cox6b2,-0.720876,0.606728627
Zim1,-0.898346,0.536501922
Tmem91,-2.07402,0.237496191
Dll3,-1.05564,0.481084064
Chst8,-0.371697,0.772873848
Kcnj14,-1.55344,0.340697854
Abcc8,-0.314375,0.804197367
Ptpn5,-0.596848,0.66119888
Gabrg3,-1.35959,0.389690323
Gabra5,-2.23375,0.212605272
B230209E15Rik,-1.89198,0.269437862
Klf13,0.32608,1.253603765
Synm,-0.411713,0.751730442
Sv2b,0.433435,1.350446767
Mfge8,-0.366658,0.775576623
Cpeb1,-0.496675,0.708740639
Il16,0.309815,1.239549661
Cemip,0.663473,1.583893289
Gm4980,-0.805625,0.57211296
Hbb-bt,-0.660926,0.632470791
"Hbb-b1,Hbb-bs",-0.530081,0.692514164
Dkk3,-0.411924,0.751620345
Gpr139,-0.818715,0.566946322
Gsg1l,-0.480936,0.716513022
Rgs10,-0.577505,0.670120312
Stk32c,-1.12675,0.45794667
Sprn,0.388785,1.309292021
Irf7,1.17951,2.265000848
Th,-1.10871,0.463708153
Mrgpre,-1.09325,0.468704128
Ccnd1,0.534063,1.448008359
Tpcn2,0.673632,1.59508437
Dlgap2,-1.27706,0.412638212
Zmat4,-0.707258,0.612484021
Rnf122,0.365411,1.288248095
Dusp4,0.547487,1.461537431
Casp3,0.470852,1.385929083
Glra3,-3.13655,0.113711204
43160,-0.765019,0.588447161
Npy1r,-1.20738,0.43305324
Lpl,-0.811664,0.56972465
Hapln4,-0.431211,0.741639201
Homer3,-0.369811,0.773883514
Comp,0.837046,1.786390868
Rasd2,-0.79318,0.577069215
Cx3cl1,-0.672964,0.627218727
Bean1,-0.447725,0.73319907
Zfhx3,-1.96112,0.256829925
Hydin,0.618462,1.535244638
Vat1l,0.494844,1.409168766
Cmip,-0.306837,0.808413612
Cdh13,-0.630825,0.645807
Necab2,-2.84234,0.139434337
Cdh15,0.482219,1.396892612
Cpne7,-2.9507,0.129345635
Pcp2,-0.363316,0.777374296
Chrna6,-2.39637,0.18994148
Unc5d,-0.796303,0.575823009
Sgcz,-0.821058,0.566026438
Tenm3,-0.493124,0.71048516
Msmo1,-0.413666,0.750712242
Npy5r,-3.19102,0.10949869
Ncan,-0.364977,0.77648141
Slc5a5,-0.561582,0.677558246
Pou4f2,-4.70563,0.038323371
Nanos3,4.88833,29.61649945
Tox3,-2.12719,0.22890196
Pllp,-0.3844,0.766096554
Cdh8,0.369319,1.291736582
Calb2,0.737579,1.667376383
Fa2h,-0.441436,0.736402141
Bcar1,-0.314666,0.80403601
Adamts18,0.98202,1.975228944
Kcng4,-0.358411,0.780023938
Zcchc14,0.346893,1.27181936
Trhr2,-5.06003,0.029976501
Agt,-0.452127,0.730963782
2310022B05Rik,-0.467031,0.723453088
Gpr83,-1.29674,0.407045727
Vstm5,-1.27921,0.412021149
Icam5,-1.8021,0.286757392
B3gat1,-0.515831,0.699387218
Arhgap32,-0.291508,0.817046757
Cdon,0.349107,1.273771955
Scn3b,-1.34538,0.393552634
Thy1,-0.498684,0.707751866
Scn4b,-0.764166,0.588795276
Fxyd6,0.480908,1.395619786
2900052N01Rik,-1.93549,0.261431774
Drd2,-3.05119,0.120642777
Cryab,-0.416613,0.749181614
Arhgap20,-0.483839,0.715069257
Rpp25,-0.926459,0.526148726
Sema7a,-0.433902,0.740257295
Hcn4,-0.539883,0.687829127
Celf6,-0.524774,0.695068628
Bmp5,0.509872,1.423927149
Tpbg,-0.524543,0.695179518
Rwdd2a,-0.503823,0.705235143
Mrap2,-0.901964,0.535158642
Rasgrf1,-0.351303,0.783874794
Plod2,0.420657,1.338536012
Cpne4,-1.17156,0.443939876
Cacna2d2,-0.295236,0.814938025
Camkv,-2.52152,0.174159632
Dclk3,-0.812982,0.56920663
Eomes,-0.942681,0.520264651
Mobp,-0.477454,0.718243677
Entpd3,-1.35819,0.390071713
Snrk,-0.324963,0.798318791
Lars2,-0.487408,0.713306049
AK129341,-0.340761,0.789624588
Cntn5,-0.969908,0.510538114
Amotl1,-0.325155,0.798213155
Fat3,-0.379644,0.768628251
Epor,-1.06303,0.478625579
Nrgn,-4.20233,0.054321543
AW551984,-3.34784,0.098219868
AI593442,-0.65832,0.633616641
Chrna3,-3.5471,0.085549002
Chrnb4,-3.5008,0.088339278
Cplx3,-1.34119,0.394694912
Islr2,-0.691551,0.619187763
Foxb1,-2.44149,0.18409387
AF529169,0.560165,1.474437008
Ankrd34c,-2.37409,0.19289826
Pls1,-0.443841,0.73517524
Pxylp1,0.421247,1.339084736
Clstn2,-0.912519,0.531255438
Armc8,0.306033,1.236303157
Sox14,-3.7419,0.074744068
Il20rb,-1.21788,0.42991482
Sema3f,-1.14543,0.452053156
Stac,-0.86287,0.549857968
Cck,-0.955156,0.515786532
Dgkk,-3.67373,0.078360515
B630019K06Rik,-0.349537,0.784837112
Sytl5,-0.662707,0.631691622
Zcchc12,-1.51226,0.350562178
Lonrf3,-0.338431,0.790901395
Gria3,-0.332054,0.794403616
Arhgap36,-2.61579,0.163143809
Zic3,0.497566,1.411829594
Ldoc1,0.555933,1.470122691
Slitrk2,0.485569,1.400139191
Gabrq,-3.73182,0.075268218
Xlr3b,0.982958,1.976503192
Gpr165,-1.25907,0.417814065
Eda,-1.13067,0.456703665
Gjb1,-0.422684,0.746039124
Pcdh11x,-0.451978,0.731040459
Plp1,-0.562499,0.677128395
Il1rapl2,-2.44459,0.183697724
Pak3,-0.659019,0.633308286
Htr2c,-1.46062,0.363335684
Map7d2,-0.28446,0.82104994
Sh3kbp1,-0.400409,0.757643913
Gpr64,-1.56299,0.338448482
Arhgap6,-0.683614,0.622602995
2010204K13Rik,-1.00497,0.498279359
Rbm3,0.37348,1.295477887
Klhl13,-0.426446,0.744094149
Igsf1,-1.29141,0.408552294
Mcf2,-0.973382,0.509312858
Gabra3,-1.0644,0.478175146
"5330434G04Rik,E530001F21Rik,Mir384",1.85408,3.615214389
Hmgn5,0.496759,1.411038771
Pcdh19,-0.723057,0.605815018
Shroom2,-0.861065,0.550545626
Nhs,-0.775614,0.584140119
Egfl6,-1.97523,0.254330356
Prps2,-0.347194,0.786111818
Erdr1,0.378453,1.299945732
