Gene name,Log2(Fold expression) (ATXN1[82Q] vs. WT),Fold Expression (ATXN1[82Q] vs. WT)
Trabd2b,-1.358642649,0.389948999
Trhde,0.392519782,1.31268411
Trim16,-0.694318516,0.618001174
Trpc3,-0.681465079,0.623531747
Trpv4,-0.938954412,0.521610779
Tsc22d3,-0.389837058,0.763215799
Tshz2,-0.530375041,0.692374722
Tspan11,-1.293333297,0.408007253
Tspan14,-0.317710116,0.802342367
Tspan18,0.599926447,1.515639293
Tspan2,-0.403961315,0.75578023
Ttll5,-0.548000967,0.683967194
Tuba8,-0.57480846,0.671375381
Tusc3,-0.414451079,0.750304918
Uba5,0.362448848,1.28560625
Ugt8a,-0.37853105,0.769220411
Unc5d,-0.738424487,0.59939357
Vamp1,-0.314393836,0.804188809
Vimp,-0.526072643,0.6944426
Vip,-3.848997306,0.069396307
Vit,-1.003329828,0.4988473
Vstm2a,-0.478144974,0.717900111
Vstm2b,-0.597815716,0.660753599
Vstm2l,-0.360171827,0.779071786
Vstm5,-1.12500634,0.458500007
Vwa3a,-0.705452499,0.613250114
Vwa5b1,-1.255925986,0.418724725
Vwa7,0.440477286,1.357053206
Vwc2l,-2.174535155,0.221513241
Wdr16,-0.884844613,0.541545847
Wdr52,-0.90003898,0.535872253
Wdr63,-1.027393574,0.490595677
Wdr65,-1.141130192,0.453404246
Wdr78,-0.54181971,0.686903952
Wee1,-0.403462651,0.756041509
Wiz,-0.491524153,0.711273267
Wls,-0.28822777,0.8189074
Wnt3,-0.391689679,0.762236353
Wsb2,-0.318964966,0.801644796
Wscd2,0.35058589,1.275078341
Wwc2,-0.326566926,0.797431817
Xist,-1.659843121,0.31647356
Xkr7,0.47278119,1.387782221
Ywhah,-0.662875665,0.631618063
Zbtb16,-2.210481854,0.216062132
Zbtb21,0.321307645,1.249462536
Zbtb7c,-0.959001873,0.514412686
Zcchc12,-1.949501832,0.258905617
Zdbf2,-0.763848597,0.588923196
Zdhhc14,-0.53342846,0.690910882
Zfhx3,-1.514503502,0.350016903
Zfhx4,-0.656030371,0.634622083
Zfp185,-0.890244463,0.539522689
Zfp385c,-0.555901861,0.680231697
Zfp869,0.308458941,1.238384175
Zfp92,-1.726651484,0.302152444
Zkscan16,-0.494520071,0.709797761
Zmynd10,-0.816065705,0.567988764
Zscan22,0.386499231,1.307217526
